SM TRATORES LTDA;CNPJ: 02.367.369/0001-62;NIRE: 31205375095;
FILIAL: Todas;SINTÉTICA INICIAL: .  .  .  .  . .;SINTÉTICA FINAL: 9.99.99.99.99.9.;DATA: 25/09/2025 HORA: 10:41:29;
PERÍODO DE: 01/05/2021 A 31/05/2021;NÍVEL: 9  DIÁRIO:     0 INCLUI CONTAS INTEGRADAS?: Não;
BALANCETE MENSAL:  DA FILIAL UNAI;

Código;Descrição da conta;Saldo anterior;Débito;Crédito;Saldo atual;
909457;DESPESA C/ PEDAGIO;-1416,67;0;0;-1416,67;
909600;DESPESA C/ RASTREAMENTO VEICULOS;-3840,00;960,00;0;-4800,00;
908839;DESPESAS ALOCACOES DE VEICULOS;-24728,32;11450,00;0;-36178,32;
909603;DESPESAS C/ ALARMES E MONITORAMENTO;-5233,00;921,00;0;-6154,00;
906164;DESPESAS C/ DEPARTAMENTO JURIDICO;-878,58;22,71;0;-901,29;
903180;DESPESAS C/ LIMPEZA E COZINHA;-1064,08;911,60;0;-1975,68;
909602;DESPESAS COM AUDITORIA/CONSULTORIA;-6415,79;1624,33;0;-8040,12;
903179;DESPESAS COM PATROCINIO;-3087,88;165,78;0;-3253,66;
910688;DESPESAS C/ REFORMAS FILIAL BRASILIA;0;2265,38;0;-2265,38;
909647;DESPESAS C/ REFORMAS FILIAL CRISTALINA;-515791,21;148834,96;0;-664626,17;
910946;DESPESAS C/ REFORMAS FILIAL FORMOSA;-17154,41;2887,48;0;-20041,89;
910706;DESPESAS C/ REFORMAS MATRIZ UNAI;-56000,37;28016,41;0;-84016,78;
903201;DESP. LEGAIS CARTORIO, DESPACHANTE E JUDICIAIS;-1019,82;868,29;0;-1888,11;
903199;DOACOES E BRINDES;-22686,27;0;0;-22686,27;
903171;ENERGIA ELETRICA;-11495,36;2588,51;0;-14083,87;
909906;EVENTOS;-2089,02;0;0;-2089,02;
903267;FRETES E CARRETOS DE TERCEIROS;-51919,10;17830,21;0;-69749,31;
903187;MANUT. CONSERV. E REPAROS DE VEICULOS;-43406,47;205,00;0;-43611,47;
903182;MANUT. CONSERV. INST. DE MOVEIS/IMOVEIS E UTENS.;-56017,31;13004,26;0;-69021,57;
903176;PRO-LABORE;-50800,00;12700,00;0;-63500,00;
903202;PROPAGANDAS E PUBLICIDADES;-24581,98;4223,64;0;-28805,62;
903178;SUPRIMENTOS DE INFORMATICA;-39,00;138,00;0;-177,00;
903212;TAXAS DE EXPEDIENTE;-10769,36;431,01;0;-11200,37;
903207;TRAFEGO DE DADOS AGCONET;-4344,13;1010,77;0;-5354,90;
903210;UTENSILIOS/FERRAM./BENS PEQUENO VALOR;-8763,32;1049,69;0;-9813,01;
903189;VIAGENS DE DIRETORES;-66,00;0;0;-66,00;
3.04.02;DESPESAS C/ VENDAS;-303518,00;92262,83;0;-395780,83;
909542;BRINDES;-355,34;0;0;-355,34;
909543;COMBUSTIVEIS COM VENDAS;-121676,88;51901,92;0;-173578,80;
909545;CURSOS E APERFEICOAMENTO C/ VENDAS;-714,00;0;0;-714,00;
909646;DESPESA C/ ATENDIMENTO AO CLIENTE;-30875,13;1574,00;0;-32449,13;
909544;DESPESA C/ CONSUMO INTERNO VENDAS;-691,95;0;0;-691,95;
909548;DESPESA C/ PEDAGIO VENDAS;-83,25;0;0;-83,25;
909549;DESPESA C/ VIAGENS E HOSPEDAGEM VENDAS;-7071,72;3437,80;0;-10509,52;
909541;DESPESAS C/ ALIMENTACAO VENDAS;-16853,55;3222,68;0;-20076,23;
903265;FEIRAS E EXPOSICOES E DIAS DE CAMPO;-741,00;0;0;-741,00;
909550;FRETES E DESPESAS COM TRANSPORTES;-42305,00;2767,50;0;-45072,50;
909552;MANUTENCAO E REPARO DE VEICULOS VENDAS;-20861,77;20116,35;0;-40978,12;
903285;MERC.APLICADAS EM  MAQUINAS E EQUIPAMENTOS;-48728,57;8081,60;0;-56810,17;
909554;SEGUROS C/ VENDAS;-8722,84;860,98;0;-9583,82;
903193;SERVICOS MUNCK / MONTAGENS;-3837,00;300,00;0;-4137,00;
3.04.03;DESPESAS C/ PESSOAL;-1019556,38;328987,34;-1471,26;-1347072,46;
903165;13° SALARIO;-305,96;41,25;0;-347,21;
909568;ACORDOS TRABALHISTAS;-147896,11;49502,80;0;-197398,91;
903194;ALIMENTACAO, VIAGENS E ESTADIAS DE FUNCIONARIOS;-7256,75;1852,29;0;-9109,04;
909153;APOSENTADORIA ESPECIAL;-300,00;150,00;0;-450,00;
905248;EPI PARA FUNCIONARIOS;-99,00;24,00;0;-123,00;
903169;ESTAGIARIO/MENOR APRENDIZ;-4500,00;0;0;-4500,00;
903208;EXAMES E ATESTADOS MEDICOS;-669,00;390,00;0;-1059,00;
903166;FERIAS;-33128,85;5198,20;0;-38327,05;
903170;FGTS;-42278,49;14367,29;0;-56645,78;
903203;HOSPITAIS E FARMACIAS;-300,31;316,18;-179,16;-437,33;
903167;INDENIZACOES TRABALHISTAS;-65857,90;3945,75;0;-69803,65;
905247;LANCHE PARA FUNCIONARIOS;-4025,18;774,92;0;-4800,10;
903205;PLANO DE SAUDE;-21460,61;5144,97;-1292,10;-25313,48;
903168;PREVIDENCIA SOCIAL;-156819,80;52767,41;0;-209587,21;
909553;PROMOCOES / PREMIACOES;-10100,00;5250,00;0;-15350,00;
903164;SALARIOS E ORDENADOS;-519166,50;181036,34;0;-700202,84;
907948;SEGUROS DE VIDA;-319,92;89,44;0;-409,36;
903209;UNIFORMES E VESTUARIOS;-5072,00;8136,50;0;-13208,50;
3.04.04;PRESTADORES DE SERVICOS;-782235,41;217300,13;0;-999535,54;
909469;CONSULTORIA SEGURANCA DO TRABALHO;-2500,00;900,00;0;-3400,00;
909560;HONORARIOS ADVOCATICIOS;-21725,00;5500,00;0;-27225,00;
909561;HONORARIOS C/ AUDITORIAS;-25000,00;6500,00;0;-31500,00;
903175;HONORARIOS CONTABEIS;-56115,00;13500,00;0;-69615,00;
903196;INFORMATICA / SOFTWARE;-91043,26;8319,30;0;-99362,56;
909853;SERVIÇOS C/ ASSESSORIA;-8769,98;0;0;-8769,98;
909569;SERVICOS DE ASSISTENCIAS SOCIAL;-1929,70;0;0;-1929,70;
903861;SERVICOS DE CONSULTORIA;-91885,74;30237,08;0;-122122,82;
903435;SERVICOS DE TERCEIROS;-35287,46;15526,99;0;-50814,45;
909385;SERVICOS FORNECIMENTO DE DADOS;-6324,56;1564,36;0;-7888,92;
909599;SERVIÇOS REMOTO - POS VENDAS;-17500,00;0;0;-17500,00;
909559;SERVICOS TECNICOS PROFISSIONAIS T.I;-24990,00;8448,00;0;-33438,00;
904561;SERVIÇOS TERCERIZADOS - PJ;-161444,71;46692,45;0;-208137,16;
909601;SM SERVICOS CARTA CREDITO;-108888,64;73329,50;0;-182218,14;
909564;SM SERVICOS MAO DE OBRA E KM GARANTIA;-128831,36;6782,45;0;-135613,81;
3.04.05;DESPESAS C/ CONSUMO;-210056,98;26576,06;0;-236633,04;
